3456
15	0	1	0
10	11	3441	3441	3465
29	11	3452	3452	3476

98	10	3372	3480	3516
14	10	3469	3577	3613
35	10	3385	3493	3529
92	9	3402	3510	3546
46	9	3476	3584	3620
4	8	3455	3563	3599
23	8	3351	3459	3495
103	8	3466	3574	3610
28	10	3406	3514	3550
97	10	3365	3473	3509
56	9	3340	3448	3484
8	8	3402	3510	3546
82	8	3442	3550	3586
5	10	3458	3566	3602
34	8	3377	3485	3521
24	8	3429	3537	3573
15	1	3334	3442	3478
104	9	3343	3451	3487
32	9	3388	3496	3532
96	9	3411	3519	3555
68	9	3507	3615	3651
84	10	3496	3604	3640
87	9	3505	3613	3649
37	9	3503	3611	3647
79	9	3489	3597	3633
80	10	3492	3600	3636
