1536
32	0	8	0
86	0	7	40
73	12	1521	1521	1545
79	10	1520	1520	1544

95	8	979	1069	1099
86	7	1407	1497	1527
48	8	1480	1570	1600
38	8	1214	1304	1334
98	9	1560	1650	1680
37	8	1393	1483	1513
72	10	1443	1533	1563
97	9	1432	1522	1552
7	9	1522	1612	1642
23	8	1319	1409	1439
27	8	1378	1468	1498
60	8	1393	1483	1513
2	8	1357	1447	1477
18	10	1422	1512	1542
44	10	1420	1510	1540
62	8	1416	1506	1536
3	9	1517	1607	1637
10	8	1383	1473	1503
12	9	1580	1670	1700
45	10	1439	1529	1559
68	9	1554	1644	1674
22	8	1508	1598	1628
84	10	1429	1519	1549
14	10	1563	1653	1683
13	8	1584	1674	1704
50	10	1428	1518	1548
101	9	1492	1582	1612
32	8	1411	1501	1531
15	9	1463	1553	1583
29	9	1540	1630	1660
94	9	1557	1647	1677
28	8	1609	1699	1729
100	10	1607	1697	1727
90	9	1609	1699	1729
4	8	1602	1692	1722
16	9	1591	1681	1711
25	9	1591	1681	1711
58	9	1591	1681	1711
