1848
53	0	7	0
73	0	6	37
36	10	1843	1843	1867

55	9	1891	1981	2011
83	8	1757	1847	1877
63	10	1845	1935	1965
70	8	1891	1981	2011
102	8	1752	1842	1872
42	9	1873	1963	1993
96	9	1842	1932	1962
38	9	1817	1907	1937
69	10	1874	1964	1994
19	9	1740	1830	1860
5	9	1755	1845	1875
80	9	1789	1879	1909
52	10	1770	1860	1890
71	9	1814	1904	1934
89	8	1761	1851	1881
59	10	1871	1961	1991
8	9	1848	1938	1968
93	9	1833	1923	1953
53	7	1732	1822	1852
40	10	1783	1873	1903
20	9	1803	1893	1923
77	9	1891	1981	2011
1	10	1798	1888	1918
46	8	1736	1826	1856
30	8	1744	1834	1864
51	9	1809	1899	1929
73	6	1734	1824	1854
92	9	1788	1878	1908
21	9	1848	1938	1968
24	10	1844	1934	1964
85	9	1876	1966	1996
81	9	1876	1966	1996
82	9	1900	1990	2020
35	8	1863	1953	1983
41	9	1904	1994	2024
47	9	1901	1991	2021
