3696
88	0	1	0
0	0	1	24
13	0	4	48
3	12	3677	3677	3701
41	11	3681	3681	3705
80	12	3672	3672	3696

13	4	3467	3683	3755
27	10	3568	3784	3856
17	9	3481	3697	3769
88	1	3461	3677	3749
92	9	3476	3692	3764
22	8	3493	3709	3781
42	8	3485	3701	3773
64	9	3469	3685	3757
54	8	3595	3811	3883
55	9	3484	3700	3772
53	10	3604	3820	3892
2	8	3494	3710	3782
19	10	3548	3764	3836
91	10	3526	3742	3814
0	1	3459	3675	3747
33	8	3553	3769	3841
70	10	3542	3758	3830
104	9	3567	3783	3855
39	10	3621	3837	3909
66	10	3619	3835	3907
77	10	3634	3850	3922
