3672
33	0	1	0
84	10	3648	3648	3672
99	12	3652	3652	3676

63	9	3705	3795	3825
33	1	3539	3629	3659
19	9	3607	3697	3727
12	8	3515	3605	3635
83	9	3635	3725	3755
53	9	3615	3705	3735
36	8	3515	3605	3635
93	10	3706	3796	3826
102	10	3642	3732	3762
30	8	3669	3759	3789
85	10	3717	3807	3837
78	10	3588	3678	3708
56	10	3601	3691	3721
0	9	3549	3639	3669
92	9	3708	3798	3828
40	9	3674	3764	3794
11	8	3572	3662	3692
52	10	3649	3739	3769
26	10	3586	3676	3706
46	9	3603	3693	3723
34	9	3571	3661	3691
75	8	3556	3646	3676
5	8	3626	3716	3746
20	8	3682	3772	3802
42	9	3696	3786	3816
38	8	3680	3770	3800
73	10	3631	3721	3751
71	9	3685	3775	3805
80	8	3685	3775	3805
89	8	3679	3769	3799
35	10	3735	3825	3855
24	10	3742	3832	3862
1	8	3727	3817	3847
