2376
75	0	9	0
61	0	8	32
0	11	2370	2370	2394
51	12	2352	2352	2376

34	8	2331	2421	2451
89	8	2402	2492	2522
102	8	2364	2454	2484
19	8	2362	2452	2482
53	8	2375	2465	2495
36	10	2297	2387	2417
33	8	2280	2370	2400
39	9	2339	2429	2459
91	8	2313	2403	2433
83	10	2376	2466	2496
9	10	2277	2367	2397
73	10	2336	2426	2456
5	9	2371	2461	2491
78	8	2326	2416	2446
46	8	2336	2426	2456
30	8	2379	2469	2499
75	9	2262	2352	2382
56	9	2333	2423	2453
80	10	2432	2522	2552
66	8	2321	2411	2441
61	8	2267	2357	2387
1	8	2415	2505	2535
26	8	2352	2442	2472
20	8	2410	2500	2530
95	10	2279	2369	2399
38	8	2433	2523	2553
40	10	2426	2516	2546
92	8	2433	2523	2553
52	8	2428	2518	2548
71	8	2427	2517	2547
